"","Corpus","Author","Year","Case"
"1","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2014","ABC, Inc. v Aereo, Inc..txt"
"2","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Abrams v Johnson.txt"
"3","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Adoptive Couple v Baby Girl.txt"
"4","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Air Line Pilots Ass'n v Miller.txt"
"5","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Ala. Legis. Black Caucus v Alabama.txt"
"6","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Alabama v Bozeman.txt"
"7","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Alabama v North Carolina.txt"
"8","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Ali v Fed. Bureau of Prisons.txt"
"9","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Allen v Ornoski.txt"
"10","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Allentown Mack Sales & Serv. v NLRB.txt"
"11","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Alleyne v US.txt"
"12","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1995","Allied-Bruce Terminix Cos. v Dobson.txt"
"13","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Almendarez-Torres v US.txt"
"14","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Alvarez v Smith.txt"
"15","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Am. Mfrs. Mut. Ins. Co. v Sullivan.txt"
"16","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Am. Tradition P'ship, Inc. v Bullock.txt"
"17","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Am. Trucking Ass'ns v Mich. PSC.txt"
"18","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Amchem Prods. v Windsor.txt"
"19","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Angelone v Bennett.txt"
"20","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1991","Anza v Ideal Steel Supply Corp..txt"
"21","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","AP v Dist. Court.txt"
"22","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Apprendi v New Jersey.txt"
"23","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Archer v Warner.txt"
"24","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Arizona v Gant.txt"
"25","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Arlington Cent. Sch. Dist. Bd. of Educ. v Murphy.txt"
"26","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Armour v City of Indianapolis.txt"
"27","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Armstrong v Exceptional Child Ctr., Inc..txt"
"28","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Ashcroft v ACLU (2).txt"
"29","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Ashcroft v ACLU.txt"
"30","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","AT&T Corp. v Iowa Utils. Bd..txt"
"31","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","At&T Mobility LLC v Concepcion.txt"
"32","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Atherton v FDIC.txt"
"33","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Bailey v US.txt"
"34","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Baker Botts L.L.P. v ASARCO LLC.txt"
"35","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Baldwin v Reese.txt"
"36","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Bank of Am. Corp. v City of Miami.txt"
"37","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Barber v Thomas.txt"
"38","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Barnett Bank, N.A. v Nelson.txt"
"39","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Barnhart v Walton.txt"
"40","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Bartlett v Stickland.txt"
"41","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Bartnicki v Vopper.txt"
"42","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Bates v Dow Agrosciences L.L.C..txt"
"43","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Baze v Rees.txt"
"44","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Bd. of Educ. v Earls.txt"
"45","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Bd. of the Cnty. Comm'rs v Brown.txt"
"46","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Bd. of Trs. of the Leland Stanford Junior Univ. v Roche Molecular Sys..txt"
"47","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Bd. of Trs. v Garrett.txt"
"48","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","BE&K Constr. Co. v NLRB.txt"
"49","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Beard v Banks.txt"
"50","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Begay v US.txt"
"51","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Behrens v Pelletier.txt"
"52","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Bell v Thompson.txt"
"53","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2014","BG Group PLC v Republic of Arg..txt"
"54","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Bilski v Kappos.txt"
"55","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Blakely v Washington.txt"
"56","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","BMW of N. Am. v Gore.txt"
"57","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Boggs v Boggs.txt"
"58","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Bolivarian Republic of Venez. v Helmerich & Payne Int'l Drilling Co..txt"
"59","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Bond v US.txt"
"60","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Boumediene v Bush.txt"
"61","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Bower v Texas.txt"
"62","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Boyer v Davis.txt"
"63","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Breard v Greene.txt"
"64","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Brooks v Alabama.txt"
"65","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Brosseau v Haugen.txt"
"66","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Brown v Entm't Merchs. Ass'n.txt"
"67","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Brown v Payton.txt"
"68","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Brown v Pro Football.txt"
"69","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Brown v Sanders.txt"
"70","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Bruesewitz v Wyeth LLC.txt"
"71","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Buchanan v Angelone.txt"
