id,mean_diff,G
s.ct,0.4302,M
l.ed,0.414214286,M
court’s,0.33525,M
it,0.324142857,M
is,0.2992,M
that,0.2868,M
what,0.2706,M
these,0.262109091,M
but,0.258454545,M
quite,0.246866667,M
say,0.240672727,M
says,0.23274,M
upon,0.2308,M
perhaps,0.228022222,M
seems,0.22514,M
cases,0.207509091,M
those,0.200854545,M
here,0.200309091,M
well,0.195527273,M
today’s,0.1954,M
either,0.194327273,M
believe,0.190672727,M
not,0.1814,M
since,0.180745455,M
which,0.175109091,M
defendant’s,0.174075,M
why,0.172,M
this,0.171781818,M
point,0.167072727,M
respect,0.164818182,M
can,0.163290909,M
do,0.1632,M
opinion,0.162054545,M
textual,0.16168,M
have,0.159781818,M
make,0.159272727,M
wrong,0.1586,M
except,0.1583,M
makes,0.157218182,M
any,0.1508,M
been,0.150290909,M
forbid,0.14744,M
find,0.146709091,M
government’s,0.145,M
used,0.143,M
compromise,0.1422,M
majority’s,0.14165,M
madison,0.13972,M
conclusion,0.139618182,M
forth,0.139466667,M
other,0.1374,M
majority,0.137309091,M
understand,0.136125,M
dispose,0.1361,M
speaking,0.13512,M
namely,0.13405,M
itself,0.133490909,M
only,0.132890909,M
my,0.132,M
how,0.131890909,M
there,0.131181818,M
if,0.130890909,M
perfect,0.130666667,M
sense,0.130311111,M
much,0.129181818,M
event,0.128711111,M
meaning,0.128309091,M
passing,0.12824,M
help,0.127775,M
obviously,0.12765,M
commands,0.1276,M
differently,0.127114286,M
questions,0.12692,M
live,0.1262,M
hence,0.125175,M
think,0.12514,M
prohibition,0.123866667,M
some,0.1236,M
constitution,0.123327273,M
few,0.122133333,M
different,0.1216,M
even,0.12,M
just,0.118709091,M
normal,0.11855,M
word,0.118444444,M
invalid,0.118,M
us,0.117490909,M
whereas,0.11716,M
done,0.116666667,M
obvious,0.11625,M
rather,0.115909091,M
deal,0.115685714,M
liberties,0.1156,M
patently,0.1155,M
does,0.114781818,M
discussed,0.114725,M
collecting,0.1144,M
points,0.1142,M
difference,0.114022222,M
respondent’s,0.1138,M
proceeds,0.1132,M
seem,0.11235,M
dealing,0.1122,M
persuade,0.1118,M
briefs,0.11175,M
etc,0.1113,M
added,0.111290909,M
assumed,0.111,M
parte,0.110633333,M
produces,0.1102,M
else,0.1098,M
perfectly,0.108433333,M
absurd,0.1076,M
merely,0.10674,M
author,0.106266667,M
making,0.106266667,M
or,0.105418182,M
assumption,0.103977778,M
affects,0.10284,M
explicit,0.1012,M
i,0.101072727,M
difficult,0.1008,M
negative,0.1006,M
appear,0.10005,M
takes,0.09985,M
detail,0.09952,M
founding,0.0991,M
course,0.098945455,M
authorize,0.098725,M
filled,0.0983,M
nn,0.0982,M
comm,0.0976,M
using,0.097525,M
cities,0.0974,M
dictum,0.0972,M
invoke,0.096833333,M
army,0.0965,M
forbidding,0.0964,M
nation’s,0.0963,M
am,0.095777778,M
contrary,0.095327273,M
correct,0.0948,M
produced,0.094714286,M
writing,0.094628571,M
prevents,0.09452,M
rationale,0.09345,M
latter,0.093177778,M
ratified,0.09315,M
state’s,0.093088889,M
forbidden,0.09304,M
benefit,0.09298,M
by,0.0928,M
classic,0.0926,M
administered,0.0924,M
e.g,0.092309091,M
answer,0.092044444,M
take,0.092036364,M
agency’s,0.092,M
has,0.0914,M
lawmaking,0.0914,M
prohibits,0.09135,M
pointed,0.090828571,M
mentioned,0.0907,M
problem,0.090688889,M
cranch,0.0906,M
sort,0.0905,M
compare,0.090228571,M
overwhelming,0.0902,M
insofar,0.090033333,M
disregarded,0.0898,M
nothing,0.089490909,M
jurisprudence,0.08935,M
o.t,0.0892,M
answers,0.08912,M
eliminate,0.0886,M
validity,0.088444444,M
dismissing,0.0882,M
marshall,0.0882,M
political,0.088181818,M
credits,0.0881,M
believes,0.087725,M
federalist,0.08755,M
branches,0.0875,M
power,0.087436364,M
reaching,0.087233333,M
expression,0.087175,M
contents,0.087,M
asking,0.08684,M
implied,0.086828571,M
imply,0.08676,M
principles,0.08676,M
complain,0.0866,M
adds,0.08652,M
provide,0.086418182,M
litigating,0.0857,M
assumes,0.0854,M
explanation,0.085325,M
such,0.085290909,M
area,0.085288889,M
than,0.084690909,M
regulates,0.08432,M
footnotes,0.08415,M
eliminated,0.0837,M
sensible,0.0834,M
phrases,0.0829,M
respectful,0.0827,M
footnote,0.0825,M
quoted,0.082285714,M
prohibiting,0.0822,M
administration,0.082088889,M
totally,0.08184,M
mean,0.0818,M
where,0.081727273,M
enough,0.081022222,M
structural,0.081,M
limits,0.080977778,M
closed,0.0808,M
puts,0.0804,M
ordinary,0.080266667,M
suspension,0.08008,M
strange,0.08,M
possible,0.079911111,M
define,0.079714286,M
o’connor,0.07924,M
simultaneously,0.0792,M
surely,0.0792,M
assuming,0.079175,M
slightly,0.079,M
separation,0.07892,M
commerce,0.078818182,M
they,0.078618182,M
being,0.0786,M
best,0.078377778,M
violate,0.078377778,M
literal,0.07835,M
ordinance,0.078285714,M
fellow,0.0782,M
reversal,0.0782,M
refer,0.078125,M
contended,0.078,M
me,0.077866667,M
prohibit,0.07785,M
distinction,0.077644444,M
opening,0.0776,M
entirely,0.077577778,M
views,0.0774,M
passed,0.077325,M
fact,0.077290909,M
predicate,0.0771,M
then,0.077,M
content,0.07695,M
opposed,0.076885714,M
first,0.076727273,M
literally,0.0764,M
register,0.07624,M
far,0.07612,M
thereof,0.07612,M
prohibited,0.07605,M
opposite,0.0759,M
