id,mean_diff,G
s.ct,0.4302,M
l.ed,0.414214286,M
court’s,0.33525,M
it,0.324142857,M
is,0.2992,M
that,0.2868,M
what,0.2706,M
these,0.262109091,M
l,0.260854545,F
see,0.259109091,F
but,0.258454545,M
quite,0.246866667,M
ct,0.244363636,F
say,0.240672727,M
s,0.2348,F
says,0.23274,M
upon,0.2308,M
ed,0.230527273,F
perhaps,0.228022222,M
seems,0.22514,M
notably,0.2176,F
cases,0.207509091,M
those,0.200854545,M
here,0.200309091,M
court's,0.200109091,F
defendant's,0.199777778,F
well,0.195527273,M
today’s,0.1954,M
either,0.194327273,M
id,0.194272727,F
accordingly,0.193822222,F
believe,0.190672727,M
not,0.1814,M
since,0.180745455,M
measure,0.179285714,F
which,0.175109091,M
defendant’s,0.174075,M
why,0.172,M
this,0.171781818,M
fit,0.168485714,F
rev,0.167733333,F
point,0.167072727,M
respect,0.164818182,M
can,0.163290909,M
do,0.1632,M
ruled,0.16224,F
opinion,0.162054545,M
textual,0.16168,M
have,0.159781818,M
make,0.159272727,M
wrong,0.1586,M
except,0.1583,M
makes,0.157218182,M
rooted,0.1569,F
deeply,0.1549,F
observes,0.154066667,F
any,0.1508,M
been,0.150290909,M
on,0.150272727,F
e,0.149309091,F
afford,0.149066667,F
forbid,0.14744,M
find,0.146709091,M
government’s,0.145,M
y,0.1433,F
used,0.143,M
compromise,0.1422,M
evaluate,0.14216,F
majority’s,0.14165,M
ibid,0.141490909,F
suggesting,0.141233333,F
instant,0.1408,F
at,0.139927273,F
madison,0.13972,M
conclusion,0.139618182,M
forth,0.139466667,M
other,0.1374,M
majority,0.137309091,M
understand,0.136125,M
dispose,0.1361,M
speaking,0.13512,M
namely,0.13405,M
itself,0.133490909,M
observed,0.133275,F
app,0.132927273,F
only,0.132890909,M
determined,0.132866667,F
my,0.132,M
how,0.131890909,M
impermissibly,0.1318,F
contrast,0.131275,F
there,0.131181818,M
if,0.130890909,M
perfect,0.130666667,M
sense,0.130311111,M
much,0.129181818,M
threshold,0.12904,F
event,0.128711111,M
ordered,0.1284,F
meaning,0.128309091,M
passing,0.12824,M
emphasized,0.1282,F
indicate,0.128,F
informed,0.127975,F
help,0.127775,M
obviously,0.12765,M
commands,0.1276,M
evaluating,0.1273,F
differently,0.127114286,M
arg,0.127085714,F
questions,0.12692,M
refused,0.126257143,F
live,0.1262,M
generally,0.126,F
remained,0.1258,F
characteristics,0.125685714,F
hence,0.125175,M
think,0.12514,M
attributable,0.12512,F
tr,0.12485,F
prohibition,0.123866667,M
some,0.1236,M
constitution,0.123327273,M
urged,0.1226,F
ruling,0.122325,F
few,0.122133333,M
different,0.1216,M
seeking,0.120311111,F
even,0.12,M
variety,0.11992,F
just,0.118709091,M
satisfied,0.11865,F
normal,0.11855,M
word,0.118444444,M
invalid,0.118,M
heavily,0.11784,F
us,0.117490909,M
recognized,0.1173,F
whereas,0.11716,M
done,0.116666667,M
upheld,0.116375,F
obvious,0.11625,M
today's,0.11605,F
rather,0.115909091,M
deal,0.115685714,M
liberties,0.1156,M
patently,0.1155,M
developed,0.115428571,F
brief,0.1154,F
does,0.114781818,M
discussed,0.114725,M
collecting,0.1144,M
points,0.1142,M
difference,0.114022222,M
barred,0.113885714,F
respondent’s,0.1138,M
proceeds,0.1132,M
seem,0.11235,M
http,0.11232,F
dealing,0.1122,M
persuade,0.1118,M
briefs,0.11175,M
face,0.111377778,F
etc,0.1113,M
added,0.111290909,M
acknowledges,0.111257143,F
presents,0.1112,F
personal,0.111177778,F
assumed,0.111,M
essential,0.110977778,F
state's,0.110666667,F
parte,0.110633333,M
produces,0.1102,M
prime,0.1101,F
else,0.1098,M
reverse,0.10965,F
concluded,0.109177778,F
perfectly,0.108433333,M
potentially,0.1083,F
trigger,0.1081,F
appropriately,0.108,F
absurd,0.1076,M
tex,0.10728,F
rendering,0.1072,F
resort,0.1071,F
ann,0.107088889,F
merely,0.10674,M
clerk,0.106533333,F
aim,0.1063,F
author,0.106266667,M
making,0.106266667,M
maintained,0.10624,F
rare,0.10552,F
or,0.105418182,M
marked,0.1054,F
assumption,0.103977778,M
exempting,0.1036,F
determining,0.102911111,F
affects,0.10284,M
effectively,0.102475,F
came,0.10244,F
proposed,0.101844444,F
significance,0.101685714,F
preclude,0.101433333,F
degree,0.101266667,F
explicit,0.1012,M
i,0.101072727,M
furnish,0.1009,F
difficult,0.1008,M
negative,0.1006,M
prescriptions,0.1002,F
appear,0.10005,M
g,0.1,F
takes,0.09985,M
adversely,0.0996,F
detail,0.09952,M
contested,0.0995,F
asserted,0.099466667,F
adversarial,0.0992,F
ensure,0.09915,F
founding,0.0991,M
constraints,0.099,F
course,0.098945455,M
authorize,0.098725,M
instructs,0.0986,F
eventually,0.09835,F
filled,0.0983,M
nn,0.0982,M
accomplish,0.0977,F
disproportionate,0.0976,F
comm,0.0976,M
using,0.097525,M
cities,0.0974,M
dictum,0.0972,M
convey,0.097,F
insufficient,0.097,F
invoke,0.096833333,M
army,0.0965,M
lot,0.0964,F
forbidding,0.0964,M
ins,0.096375,F
nation’s,0.0963,M
currently,0.09624,F
p,0.096127273,F
am,0.095777778,M
contrary,0.095327273,M
institutional,0.0949,F
correct,0.0948,M
produced,0.094714286,M
writing,0.094628571,M
grossly,0.0946,F
prevents,0.09452,M
d,0.094509091,F
maintains,0.0944,F
ledhn,0.094085714,F
wright,0.094066667,F
decisions,0.093709091,F
rationale,0.09345,M
