id,mean_diff,G
l,0.352328571,F
see,0.329614286,F
ed,0.323214286,F
at,0.319328571,F
ct,0.307728571,F
s,0.295328571,F
notably,0.2612,F
d,0.2484,F
id,0.2385,F
marks,0.2202,F
hardly,0.2177,F
rev,0.214977778,F
quotation,0.209955556,F
prescription,0.20355,F
cf,0.197672727,F
observed,0.19455,F
measure,0.193425,F
ante,0.1906,F
location,0.187246154,F
document,0.186892308,F
contrast,0.185225,F
omitted,0.182018182,F
___,0.1788,F
moreover,0.17838,F
inc,0.1782,F
accord,0.17745,F
p,0.177233333,F
similarly,0.176177778,F
link,0.173242857,F
remained,0.168633333,F
threshold,0.16444,F
tr,0.163825,F
recognizing,0.161114286,F
court's,0.160628571,F
prime,0.1596,F
gain,0.15928,F
note,0.158057143,F
scarcely,0.1556,F
brief,0.152833333,F
observing,0.1501,F
allows,0.149085714,F
awards,0.146266667,F
m,0.146025,F
altogether,0.1444,F
acknowledges,0.144342857,F
appropriately,0.14305,F
aim,0.1429,F
measured,0.1407,F
supra,0.139138462,F
inflicted,0.1391,F
discrete,0.1357,F
burger,0.1353,F
incentive,0.1338,F
advanced,0.133485714,F
potentially,0.133233333,F
u.s,0.132071429,F
j,0.131738462,F
today's,0.1316,F
co,0.130492308,F
workers,0.130177778,F
v,0.129585714,F
remain,0.12895,F
ins,0.12795,F
longstanding,0.12748,F
confronted,0.12688,F
lane,0.126866667,F
ensure,0.125825,F
closely,0.125633333,F
liability,0.12558,F
declared,0.124833333,F
award,0.124822222,F
acknowledged,0.124685714,F
concurring,0.1246,F
r,0.123509091,F
rulings,0.1225,F
f,0.121942857,F
hold,0.1216,F
ibid,0.1214,F
defendant's,0.120688889,F
et,0.120425,F
diverse,0.119666667,F
fit,0.119142857,F
oklahoma,0.119114286,F
new,0.118584615,F
corp,0.118111111,F
test,0.118072727,F
heightened,0.11788,F
consistency,0.1174,F
quoting,0.117309091,F
sum,0.117225,F
cty,0.1162,F
heavy,0.116,F
historically,0.115866667,F
dictate,0.1148,F
urged,0.1147,F
amount,0.113711111,F
dictates,0.113466667,F
generally,0.11338,F
bias,0.11295,F
assess,0.11184,F
text,0.111553846,F
genuine,0.1108,F
