id,mean_diff,G
l.ed,0.4025,M
s.ct,0.383114286,M
it,0.370942857,M
that,0.2982,M
quite,0.2694,M
is,0.265042857,M
seems,0.26496,M
any,0.252742857,M
upon,0.232723077,M
either,0.222883333,M
which,0.218771429,M
by,0.211285714,M
since,0.205683333,M
court’s,0.1978,M
these,0.195485714,M
his,0.189028571,M
this,0.184714286,M
such,0.174257143,M
obviously,0.17395,M
much,0.173109091,M
apparently,0.172977778,M
say,0.172309091,M
correct,0.1714,M
two,0.171030769,M
with,0.169628571,M
seem,0.1689,M
of,0.1683,M
but,0.1679,M
understand,0.165325,M
if,0.165257143,M
me,0.1632,M
entirely,0.162822222,M
help,0.161425,M
way,0.160066667,M
make,0.159569231,M
course,0.15915,M
contain,0.155714286,M
what,0.155215385,M
well,0.155076923,M
even,0.153885714,M
think,0.15368,M
matter,0.153233333,M
whereas,0.152666667,M
only,0.152485714,M
fact,0.151507692,M
says,0.151155556,M
defendant’s,0.148425,M
opinion,0.1474,M
answer,0.146711111,M
except,0.14625,M
wrote,0.145742857,M
have,0.143457143,M
comparable,0.142114286,M
latter,0.1414,M
tradition,0.141333333,M
freedom,0.1413,M
find,0.140909091,M
forbid,0.13995,M
strikes,0.13935,M
a,0.137885714,M
one,0.137014286,M
us,0.136383333,M
describes,0.136033333,M
he,0.134657143,M
support,0.134033333,M
mentioned,0.132933333,M
assumed,0.1314,M
do,0.131,M
unable,0.13095,M
those,0.130942857,M
conclusion,0.1298,M
here,0.129476923,M
describe,0.128966667,M
totally,0.12848,M
there,0.128471429,M
been,0.128257143,M
respect,0.127966667,M
seemingly,0.1271,M
deals,0.1258,M
state’s,0.125625,M
sort,0.12475,M
passed,0.124625,M
described,0.124577778,M
itself,0.124416667,M
cases,0.124057143,M
back,0.124,M
imprisonment,0.123625,M
closed,0.1224,M
parte,0.121766667,M
subsection,0.12155,M
separate,0.1214,M
various,0.121377778,M
difference,0.121266667,M
textual,0.1212,M
evaluation,0.121,M
does,0.120728571,M
ever,0.119825,M
though,0.119727273,M
subsections,0.11935,M
mistake,0.119233333,M
we,0.1184,M
assumption,0.118133333,M
constitution,0.117984615,M
discussed,0.11795,M
called,0.1172,M
deal,0.116942857,M
invoke,0.116633333,M
why,0.116272727,M
branch,0.115914286,M
likewise,0.1158,M
or,0.115257143,M
be,0.114985714,M
dealing,0.114514286,M
operating,0.1132,M
normal,0.112885714,M
today’s,0.112822222,M
tend,0.11255,M
executive,0.1122,M
who,0.112185714,M
wrong,0.111777778,M
putting,0.1116,M
discussion,0.111025,M
ones,0.111,M
presumption,0.110911111,M
transferred,0.1109,M
author,0.1099,M
surprising,0.1098,M
believe,0.109033333,M
produces,0.1084,M
added,0.107733333,M
actually,0.107288889,M
authorize,0.106725,M
contended,0.106533333,M
used,0.106309091,M
presumably,0.106225,M
foreclosed,0.106,M
not,0.105457143,M
makes,0.105418182,M
proceedings,0.104927273,M
respondent's,0.104888889,M
really,0.104233333,M
present,0.1042,M
conclusions,0.104133333,M
includes,0.103725,M
judge,0.103507692,M
intent,0.103218182,M
lawmaking,0.1032,M
conviction,0.103127273,M
three,0.102927273,M
government’s,0.102566667,M
assumes,0.102314286,M
look,0.102125,M
thinks,0.102066667,M
rather,0.102015385,M
stronger,0.1016,M
probably,0.101566667,M
invoking,0.101,M
liberties,0.10075,M
himself,0.100525,M
