Feature,Mean Difference,Gender
see,0.336471429,F
l,0.303057143,F
at,0.294714286,F
ct,0.270471429,F
ed,0.269842857,F
s,0.266985714,F
observed,0.2638,F
hardly,0.2612,F
omitted,0.254763636,F
marks,0.250733333,F
d,0.248371429,F
notably,0.2438,F
quotation,0.231155556,F
contrast,0.21735,F
measure,0.212,F
rev,0.194088889,F
recognizing,0.194085714,F
gain,0.18684,F
cf,0.1834,F
aim,0.1833,F
link,0.179657143,F
u.s,0.177514286,F
acknowledges,0.176914286,F
arg,0.176371429,F
v,0.173257143,F
inc,0.168230769,F
threshold,0.16664,F
similarly,0.166488889,F
ante,0.165914286,F
burger,0.1633,F
p,0.163,F
corp,0.162688889,F
hold,0.160266667,F
m,0.15615,F
asserting,0.1544,F
properly,0.153688889,F
appropriately,0.15155,F
j,0.150907692,F
id,0.150142857,F
brief,0.149833333,F
relying,0.149771429,F
quoting,0.147927273,F
declares,0.1479,F
reported,0.14388,F
awards,0.141,F
fit,0.140742857,F
unreasonable,0.140066667,F
amount,0.139822222,F
ibid,0.139030769,F
co,0.136984615,F
supra,0.136969231,F
___,0.136888889,F
concluded,0.135488889,F
concurring,0.134533333,F
closely,0.133566667,F
accord,0.13335,F
acknowledged,0.133342857,F
miller,0.1332,F
f,0.132114286,F
evident,0.132,F
steel,0.1312,F
internal,0.131044444,F
award,0.129888889,F
incentive,0.1292,F
convey,0.1283,F
defendant's,0.1278,F
scarcely,0.1274,F
ensure,0.12735,F
requirements,0.12714,F
tr,0.127,F
burdensome,0.126,F
dictates,0.1254,F
enables,0.1244,F
once,0.124288889,F
remain,0.12305,F
observing,0.12295,F
generally,0.12274,F
based,0.122338462,F
materially,0.1221,F
essential,0.122,F
dictate,0.1216,F
prime,0.1208,F
potentially,0.119371429,F
dept,0.119257143,F
services,0.11844,F
advanced,0.115971429,F
oral,0.1152,F
accompanying,0.1151,F
et,0.11485,F
grave,0.1143,F
ca,0.1142,F
injury,0.11334,F
damages,0.113,F
altogether,0.1128,F
liability,0.11248,F
named,0.11244,F
urged,0.11215,F
qualifies,0.1116,F
share,0.111228571,F
barring,0.1102,F
breadth,0.1102,F
defendants,0.11014,F
nearly,0.109828571,F
diverse,0.1096,F
test,0.109472727,F
low,0.109371429,F
consistency,0.1088,F
controversy,0.1086,F
maintain,0.108571429,F
sum,0.107925,F
misconduct,0.107733333,F
n,0.107714286,F
manufacturers,0.107,F
maintains,0.1068,F
reasonably,0.106088889,F
plaintiffs,0.105688889,F
fourth,0.10526,F
calls,0.105033333,F
recovery,0.104828571,F
several,0.104533333,F
recently,0.104457143,F
reasoned,0.104171429,F
obligation,0.1036,F
women,0.10285,F
ala,0.10284,F
teague,0.1028,F
r,0.1022,F
related,0.10204,F
warrants,0.10128,F
ltd,0.1009,F
tailored,0.10064,F
conn,0.1006,F
petitioners,0.100363636,F
commonly,0.1003,F
rooted,0.0999,F
awareness,0.0996,F
sd,0.0996,F
remained,0.099533333,F
amendment's,0.099233333,F
core,0.0986,F
marked,0.0985,F
experience,0.097775,F
informed,0.097571429,F
negligence,0.097566667,F
affirm,0.097525,F
harris,0.0972,F
equal,0.09702,F
governmental,0.096911111,F
verdicts,0.0969,F
guidance,0.096742857,F
e,0.096446154,F
promoting,0.0964,F
size,0.0963,F
exempting,0.0961,F
successfully,0.096,F
historically,0.0958,F
sex,0.095622222,F
application,0.0956,F
extraordinary,0.095171429,F
training,0.09504,F
constraints,0.095,F
crucial,0.095,F
suits,0.0944,F
diversity,0.094342857,F
hospital,0.094314286,F
uniformly,0.0943,F
tied,0.0941,F
regime,0.09404,F
street,0.09384,F
national,0.093527273,F
instruct,0.0935,F
concerns,0.093133333,F
bias,0.0929,F
aff'd,0.0928,F
inaccurate,0.0926,F
exclusively,0.092514286,F
favoring,0.0925,F
dissenting,0.092116667,F
instance,0.092,F
civil,0.091945455,F
path,0.0919,F
instead,0.091854545,F
preserved,0.0916,F
particularized,0.0915,F
proscribed,0.0914,F
proviso,0.0914,F
agreements,0.0912,F
defend,0.09084,F
attributable,0.0908,F
controversies,0.0907,F
longstanding,0.09068,F
connection,0.0906,F
method,0.090525,F
succeed,0.0899,F
settle,0.0897,F
errs,0.0895,F
agreement,0.08944,F
searched,0.0894,F
offers,0.089371429,F
saw,0.0893,F
examine,0.089233333,F
alaska,0.0888,F
movement,0.0888,F
suffered,0.088771429,F
amdt,0.0887,F
consumers,0.0886,F
gender,0.0885,F
kan,0.0885,F
and,0.088442857,F
rule,0.088428571,F
warrantless,0.08832,F
yale,0.0883,F
precision,0.0882,F
sole,0.088171429,F
fields,0.088,F
advance,0.087971429,F
ninth,0.087942857,F
shared,0.08724,F
al,0.087171429,F
program,0.087155556,F
citations,0.087,F
formally,0.0868,F
moving,0.0868,F
developed,0.086742857,F
birth,0.08664,F
remedies,0.086488889,F
board's,0.086433333,F
commentators,0.0862,F
goals,0.0862,F
financial,0.085975,F
juries,0.085942857,F
negligent,0.085866667,F
renders,0.08584,F
assessing,0.0857,F
actors,0.0855,F
ann,0.084422222,F
civ,0.0844,F
oct,0.0844,F
degree,0.084288889,F
contest,0.0839,F
facial,0.0839,F
over,0.083784615,F
sub,0.0837,F
regulation,0.083666667,F
standing,0.0836,F
redress,0.0833,F
determined,0.083266667,F
expectations,0.0831,F
oklahoma,0.082942857,F
industry,0.082571429,F
ascertain,0.0825,F
determining,0.082488889,F
i.e,0.0824,F
lacking,0.0824,F
court's,0.082357143,F
inherently,0.0823,F
curiae,0.082225,F
historic,0.0822,F
suggested,0.0822,F
responsible,0.082142857,F
environmental,0.082114286,F
harv,0.0821,F
texas,0.082088889,F
holds,0.081688889,F
ruling,0.081525,F
realistic,0.0815,F
economically,0.0812,F
amici,0.080971429,F
short,0.080888889,F
visited,0.0806,F
confirm,0.0803,F
connecticut,0.080228571,F
standards,0.080222222,F
hudson,0.080166667,F
contested,0.08,F
drunk,0.08,F
extension,0.08,F
prompted,0.08,F
securing,0.0795,F
initially,0.079233333,F
univ,0.079,F
procedure,0.07894,F
preclude,0.078742857,F
oversight,0.0786,F
payments,0.0786,F
goal,0.078371429,F
lexis,0.0782,F
