"","X1.length.max_col_vals.","X1","X2","unlist.train_accs.","unlist.test_accs."
"1",1,"5000","4971",0.985685071574642,0.966257668711656
"2",2,"4500","4482",0.984662576687117,0.960122699386503
"3",3,"4000","3989",0.982617586912065,0.95398773006135
"4",4,"3500","3494",0.983640081799591,0.950920245398773
"5",5,"3000","2996",0.98159509202454,0.957055214723926
"6",6,"2500","2498",0.976482617586912,0.957055214723926
"7",7,"2000","1999",0.965235173824131,0.96319018404908
"8",8,"1500","1499",0.960122699386503,0.950920245398773
"9",9,"1000","1000",0.955010224948875,0.947852760736196
"10",10,"500","500",0.939672801635992,0.926380368098159
"11",11,"400","400",0.937627811860941,0.914110429447853
"12",12,"300","300",0.93558282208589,0.907975460122699
"13",13,"200","200",0.922290388548057,0.895705521472393
"14",14,"100","100",0.90081799591002,0.898773006134969
