Feature,Mean Difference,Gender
see,0.224714286,F
s,0.220028571,F
observed,0.219088889,F
l,0.214228571,F
app,0.213076923,F
ed,0.1905,F
ct,0.188828571,F
link,0.183314286,F
id,0.174757143,F
notably,0.1705,F
urges,0.1649,F
arg,0.161685714,F
accordingly,0.153733333,F
ibid,0.149876923,F
tr,0.1455,F
instructs,0.1448,F
maintains,0.1347,F
at,0.130457143,F
therefore,0.11675,F
g,0.113654545,F
u,0.11325,F
quoting,0.112563636,F
oral,0.112066667,F
acknowledged,0.111428571,F
ca,0.109030769,F
p,0.106123077,F
ruled,0.102866667,F
f,0.101928571,F
decisions,0.100163636,F
post,0.097416667,F
e,0.093861538,F
observing,0.093666667,F
fed,0.0935,F
maintained,0.092566667,F
c,0.092476923,F
d,0.092285714,F
determined,0.091955556,F
brief,0.091769231,F
ordinarily,0.0913,F
gain,0.09116,F
urge,0.089733333,F
urged,0.08964,F
discrete,0.0885,F
pet,0.087533333,F
cf,0.086909091,F
remanded,0.08395,F
furthermore,0.083733333,F
measure,0.0824,F
erred,0.082133333,F
reasoned,0.0816,F
rev,0.0802,F
accord,0.0795,F
rule,0.078657143,F
articulated,0.0779,F
cert,0.07774,F
circuit,0.077516667,F
generally,0.07728,F
court,0.0766,F
appropriately,0.0761,F
commenced,0.07428,F
moved,0.074085714,F
concluded,0.073381818,F
vacated,0.072633333,F
hold,0.07154,F
proc,0.070628571,F
inform,0.07052,F
hardly,0.069942857,F
cadc,0.06975,F
pursuing,0.0697,F
civ,0.068733333,F
circuit's,0.068685714,F
diverse,0.0675,F
renders,0.06604,F
accords,0.0656,F
measures,0.065542857,F
instead,0.06508,F
asserted,0.064755556,F
d.c,0.0644,F
opposing,0.0644,F
withdraw,0.0642,F
contrast,0.064125,F
supp,0.061563636,F
ensure,0.06155,F
observes,0.0615,F
properly,0.061466667,F
notice,0.0592,F
personal,0.058622222,F
remained,0.057766667,F
recognized,0.05668,F
plaintiff's,0.056333333,F
threshold,0.0563,F
jury's,0.056057143,F
initially,0.055933333,F
judgment,0.055569231,F
on,0.055328571,F
however,0.054538462,F
certification,0.054285714,F
ins,0.0537,F
resolve,0.053422222,F
resident,0.0528,F
recognizing,0.052714286,F
shortly,0.0527,F
adjudication,0.052525,F
evaluating,0.051,F
informed,0.050775,F
suggested,0.05015,F
courts,0.050071429,F
individual's,0.05,F
location,0.0499,F
safeguard,0.0499,F
moreover,0.049866667,F
attend,0.0489,F
determining,0.048355556,F
motion,0.0482,F
serves,0.048142857,F
light,0.04802,F
employed,0.047475,F
constraints,0.0474,F
state,0.0473,F
summary,0.046955556,F
unduly,0.0466,F
pub,0.046133333,F
alternatively,0.046,F
occasion,0.045966667,F
runs,0.0455,F
tex,0.0454,F
identified,0.0453,F
j,0.045169231,F
act's,0.045085714,F
remand,0.045066667,F
stated,0.04506,F
under,0.044985714,F
clarify,0.0448,F
domain,0.0447,F
barring,0.044533333,F
sentenced,0.044525,F
kan,0.0445,F
prescription,0.0445,F
qualifies,0.0444,F
asserts,0.044,F
supra,0.0438,F
refund,0.04356,F
goal,0.043342857,F
eventually,0.0433,F
meet,0.043075,F
taylor,0.042966667,F
served,0.04275,F
absent,0.0427,F
improperly,0.0416,F
eleventh,0.04105,F
accomplish,0.041,F
goals,0.040666667,F
nation's,0.0406,F
reply,0.0406,F
duration,0.0405,F
advisory,0.040333333,F
governing,0.040325,F
governed,0.040285714,F
years,0.040266667,F
held,0.040123077,F
note,0.039755556,F
sole,0.039742857,F
pierce,0.0396,F
occurring,0.0392,F
oversight,0.0392,F
presents,0.039114286,F
worker,0.0391,F
m,0.03895,F
