Feature,Mean Difference,Gender
hn,0.399815385,F
ledhn,0.398353846,F
observed,0.229622222,F
location,0.216323077,F
s,0.211742857,F
l,0.206314286,F
app,0.205969231,F
document,0.203507692,F
see,0.198171429,F
note,0.196642857,F
link,0.193128571,F
ed,0.182728571,F
ct,0.180057143,F
id,0.165842857,F
urges,0.1643,F
arg,0.162542857,F
notably,0.1616,F
ibid,0.149246154,F
accordingly,0.148777778,F
tr,0.14835,F
instructs,0.1466,F
maintains,0.1447,F
urged,0.13352,F
oral,0.131555556,F
therefore,0.127116667,F
ca,0.121323077,F
omitted,0.118454545,F
quotation,0.117222222,F
marks,0.115955556,F
f,0.112328571,F
observing,0.107,F
text,0.105046154,F
u,0.1045,F
measure,0.102885714,F
quoting,0.100727273,F
at,0.099485714,F
maintained,0.097933333,F
pet,0.097688889,F
g,0.094181818,F
urge,0.0922,F
acknowledged,0.091428571,F
determined,0.091377778,F
cert,0.09078,F
decisions,0.089981818,F
d,0.0893,F
fed,0.088625,F
e,0.088015385,F
moved,0.087828571,F
gain,0.08524,F
rev,0.085222222,F
generally,0.08442,F
discrete,0.0842,F
remanded,0.08355,F
court,0.083428571,F
c,0.081938462,F
circuit,0.081416667,F
stated,0.08136,F
reasoned,0.080342857,F
cf,0.079854545,F
opposing,0.0794,F
p,0.079,F
post,0.07875,F
rule,0.078385714,F
furthermore,0.078366667,F
asserted,0.078155556,F
ruled,0.078133333,F
articulated,0.0781,F
brief,0.078046154,F
inform,0.07636,F
erred,0.075333333,F
notice,0.07496,F
hardly,0.074685714,F
concluded,0.0742,F
hold,0.07376,F
accord,0.07295,F
appropriately,0.0713,F
ordinarily,0.0711,F
instead,0.07096,F
proc,0.070742857,F
cadc,0.0707,F
commenced,0.07004,F
ensure,0.0677,F
diverse,0.0663,F
___,0.063755556,F
lacked,0.062133333,F
civ,0.061766667,F
accords,0.0602,F
informed,0.05995,F
evaluating,0.05992,F
on,0.059014286,F
vacated,0.058466667,F
resolve,0.058288889,F
properly,0.057866667,F
observes,0.0573,F
motion,0.055927273,F
occurring,0.0552,F
remained,0.054966667,F
state’s,0.054781818,F
measures,0.053514286,F
conclude,0.052755556,F
rigid,0.0526,F
constraints,0.0523,F
determining,0.052288889,F
domain,0.0521,F
circuit’s,0.0513,F
certification,0.050685714,F
alternatively,0.0505,F
courts,0.050428571,F
resident,0.05004,F
ruling,0.049088889,F
summary,0.048888889,F
asserts,0.048685714,F
renders,0.04864,F
identified,0.0483,F
cure,0.0482,F
remand,0.048022222,F
adjudication,0.047085714,F
kan,0.0465,F
occasion,0.046333333,F
responded,0.0463,F
precludes,0.0459,F
rulings,0.0459,F
instant,0.045533333,F
supplemental,0.04532,F
threshold,0.045266667,F
moreover,0.045088889,F
reverse,0.04495,F
suggested,0.0447,F
answered,0.04464,F
instructed,0.044428571,F
judgment,0.044292308,F
unduly,0.0442,F
initially,0.044133333,F
certified,0.04408,F
crim,0.044,F
state,0.043828571,F
prescription,0.0435,F
safeguard,0.0435,F
eventually,0.0423,F
clarify,0.0422,F
contrast,0.0419,F
martin,0.0418,F
write,0.041733333,F
independently,0.0416,F
tailored,0.0416,F
shortly,0.0415,F
tex,0.04144,F
supp,0.041381818,F
due,0.04135,F
seven,0.04132,F
eleventh,0.0407,F
personal,0.040422222,F
j,0.039892308,F
ala,0.0397,F
appeals,0.039471429,F
appealed,0.039466667,F
y,0.0394,F
african,0.0392,F
attend,0.0391,F
sentencer,0.0389,F
mission,0.0386,F
finality,0.038333333,F
employed,0.0383,F
absent,0.038225,F
verdict,0.038111111,F
h,0.038022222,F
pub,0.037833333,F
altogether,0.0377,F
served,0.0373,F
pass,0.037028571,F
internal,0.037022222,F
meet,0.036975,F
pursuing,0.0369,F
cal,0.036888889,F
fire,0.036866667,F
killed,0.0368,F
pierce,0.0366,F
rptr,0.0366,F
recognized,0.03652,F
warranted,0.0365,F
pendency,0.0364,F
perry,0.0364,F
conviction,0.036363636,F
routinely,0.0362,F
oil,0.0361,F
met,0.036028571,F
below,0.035822222,F
gray,0.0357,F
successfully,0.035666667,F
ten,0.0356,F
south,0.0355,F
worker,0.0355,F
withdraw,0.035466667,F
d.c,0.0354,F
citing,0.035155556,F
sole,0.035142857,F
powell,0.03505,F
challenge,0.035,F
supplies,0.0348,F
asserting,0.034666667,F
april,0.034566667,F
ascertain,0.0345,F
collected,0.0343,F
incentives,0.0342,F
fla,0.034166667,F
goal,0.034142857,F
fela,0.0338,F
formal,0.033628571,F
fit,0.033566667,F
extraordinary,0.033533333,F
recommended,0.0335,F
attorney,0.03338,F
presented,0.03338,F
reply,0.033366667,F
duration,0.033,F
qualifies,0.033,F
misleading,0.03284,F
confine,0.0328,F
ann,0.032355556,F
barring,0.0322,F
similarly,0.032155556,F
adjudicate,0.0321,F
firearm,0.032085714,F
improperly,0.032,F
inherently,0.0316,F
victims,0.031433333,F
rooted,0.0314,F
governing,0.03135,F
took,0.0313,F
inquiry,0.031155556,F
files,0.0311,F
alleged,0.03102,F
light,0.030955556,F
m,0.03095,F
ordered,0.030755556,F
current,0.03075,F
armed,0.030533333,F
runs,0.0305,F
dakota,0.0304,F
advanced,0.030366667,F
vacate,0.030133333,F
encouraging,0.0299,F
banc,0.029828571,F
framed,0.0298,F
letter,0.0297,F
tied,0.0297,F
carry,0.02965,F
currently,0.0296,F
r,0.02948,F
dictates,0.0291,F
instruction,0.028977778,F
operations,0.028828571,F
civil,0.0283,F
stressed,0.0283,F
municipal,0.02815,F
prior,0.02815,F
removed,0.028142857,F
puerto,0.0277,F
diversity,0.027685714,F
district,0.027671429,F
among,0.0276,F
general’s,0.0276,F
override,0.0276,F
sentence,0.027383333,F
precedent,0.027355556,F
serve,0.027355556,F
license,0.0273,F
break,0.0272,F
crawford,0.0272,F
facial,0.02704,F
low,0.026966667,F
goals,0.026933333,F
circumstances,0.02675,F
applicants,0.026685714,F
stat,0.02655,F
hudson,0.026533333,F
contend,0.026514286,F
furtherance,0.0264,F
evaluated,0.0263,F
ready,0.0263,F
supply,0.02624,F
deems,0.0262,F
government,0.0262,F
religion,0.0262,F
citations,0.026133333,F
lhwca,0.0261,F
pa,0.026066667,F
objections,0.02604,F
must,0.025985714,F
opportunity,0.025955556,F
religious,0.025955556,F
extreme,0.0259,F
stayed,0.0259,F
once,0.025888889,F
filed,0.025872727,F
display,0.0258,F
expired,0.0258,F
however,0.0258,F
grounds,0.025755556,F
may,0.025642857,F
attributable,0.0256,F
requirement,0.02555,F
settle,0.0255,F
telling,0.0255,F
became,0.025428571,F
charged,0.025222222,F
affirmed,0.025177778,F
close,0.02515,F
calls,0.025133333,F
uphold,0.025,F
mich,0.024933333,F
adequacy,0.0249,F
et,0.024888889,F
solicitation,0.02484,F
ability,0.024822222,F
legislature’s,0.0248,F
morgan,0.0246,F
reasonable,0.0246,F
under,0.024571429,F
minimal,0.0245,F
presence,0.0243,F
supra,0.024171429,F
harv,0.0241,F
oversight,0.024,F
alteration,0.0239,F
differs,0.0238,F
completely,0.023766667,F
lease,0.0237,F
percent,0.023685714,F
superior,0.023685714,F
guided,0.0236,F
meets,0.0236,F
bus,0.0235,F
performing,0.0234,F
procedure,0.02326,F
did,0.0232,F
face,0.023177778,F
trigger,0.023,F
satisfied,0.02295,F
finally,0.022911111,F
convey,0.0229,F
advance,0.022885714,F
success,0.02284,F
acknowledges,0.022766667,F
interlocutory,0.0227,F
en,0.022685714,F
instructions,0.0225,F
final,0.02246,F
compel,0.022333333,F
