,Author,Year,year_sent
1,Breyer,1995,0.132868133
2,Breyer,1996,0.18915946
3,Breyer,1997,0.14055849
4,Breyer,1998,0.118099907
5,Breyer,1999,0.163783778
6,Breyer,2000,0.239734912
7,Breyer,2001,0.10507779
8,Breyer,2002,0.062069882
9,Breyer,2003,0.080658995
10,Breyer,2004,0.07971154
11,Breyer,2005,0.070553668
12,Breyer,2006,0.019626047
13,Breyer,2007,0.067763799
14,Breyer,2008,0.065603451
15,Breyer,2009,0.037265672
16,Breyer,2010,0.119059384
17,Breyer,2011,0.057243702
18,Breyer,2012,0.055813275
19,Breyer,2013,0.080819454
20,Breyer,2014,0.087646489
21,Breyer,2015,0.043906844
22,Breyer,2016,-0.054840424
23,Breyer,2017,-0.062803831
24,Breyer,2018,0.01440322
25,Ginsburg,1993,0.130189841
26,Ginsburg,1994,-0.007549661
27,Ginsburg,1995,0.005047334
28,Ginsburg,1996,0.128425429
29,Ginsburg,1997,0.185104992
30,Ginsburg,1998,0.07023001
31,Ginsburg,1999,0.131417334
32,Ginsburg,2000,0.158211762
33,Ginsburg,2001,0.041298556
34,Ginsburg,2002,0.115123593
35,Ginsburg,2003,0.039759836
36,Ginsburg,2004,0.066222675
37,Ginsburg,2005,0.068919958
38,Ginsburg,2006,0.054675316
39,Ginsburg,2007,0.035701545
40,Ginsburg,2008,0.062569078
41,Ginsburg,2009,0.010161729
42,Ginsburg,2010,0.03467896
43,Ginsburg,2011,0.019646946
44,Ginsburg,2012,0.0336117
45,Ginsburg,2013,0.073671622
46,Ginsburg,2014,0.096305527
47,Ginsburg,2015,0.051502578
48,Ginsburg,2016,0.042099725
49,Ginsburg,2017,0.037854117
50,Ginsburg,2018,-0.043488639
51,Kennedy,1988,0.12289928
52,Kennedy,1989,0.197942578
53,Kennedy,1990,0.223529218
54,Kennedy,1991,0.138761286
55,Kennedy,1992,0.157308353
56,Kennedy,1993,0.09320488
57,Kennedy,1994,0.095679008
58,Kennedy,1995,0.130690567
59,Kennedy,1996,0.035931667
60,Kennedy,1997,0.181864355
61,Kennedy,1998,0.082176498
62,Kennedy,1999,0.078108901
63,Kennedy,2000,0.226577361
64,Kennedy,2001,0.182887954
65,Kennedy,2002,0.146546346
66,Kennedy,2003,0.012196264
67,Kennedy,2004,0.097944971
68,Kennedy,2005,0.01983227
69,Kennedy,2006,0.119204671
70,Kennedy,2007,0.032585742
71,Kennedy,2008,0.055132368
72,Kennedy,2009,0.099470652
73,Kennedy,2010,0.114027948
74,Kennedy,2011,0.071675835
75,Kennedy,2012,0.028299217
76,Kennedy,2013,0.158845929
77,Kennedy,2014,0.120029587
78,Kennedy,2015,0.144743447
79,Kennedy,2016,0.050963289
80,Kennedy,2017,0.028829565
81,Kennedy,2018,0.55
82,OConnor,1981,-0.138548243
83,OConnor,1982,0.077922818
84,OConnor,1983,0.214743908
85,OConnor,1984,0.169752218
86,OConnor,1985,0.062639672
87,OConnor,1986,0.290955912
88,OConnor,1987,0.134982551
89,OConnor,1988,0.184121534
90,OConnor,1989,0.155173185
91,OConnor,1990,0.146834169
92,OConnor,1991,0.064858086
93,OConnor,1992,0.037724091
94,OConnor,1993,0.080739505
95,OConnor,1994,0.090336311
96,OConnor,1995,0.102445441
97,OConnor,1996,0.132385191
98,OConnor,1997,0.209363725
99,OConnor,1998,0.182882759
100,OConnor,1999,0.043143413
101,OConnor,2000,0.12280538
102,OConnor,2001,0.137140471
103,OConnor,2002,0.081676794
104,OConnor,2003,0.049304605
105,OConnor,2004,0.038228627
106,OConnor,2005,0.014331045
107,OConnor,2006,-0.008136483
108,Rehnquist,1972,0.119495277
109,Rehnquist,1973,0.230566707
110,Rehnquist,1974,0.141256067
111,Rehnquist,1975,0.23534034
112,Rehnquist,1976,0.102745907
113,Rehnquist,1977,0.14838141
114,Rehnquist,1978,0.154551767
115,Rehnquist,1979,0.175697422
116,Rehnquist,1980,0.217745664
