"","Author","Year","n"
"1","Breyer",1995,18
"2","Breyer",1996,18
"3","Breyer",1997,29
"4","Breyer",1998,30
"5","Breyer",1999,26
"6","Breyer",2000,27
"7","Breyer",2001,24
"8","Breyer",2002,24
"9","Breyer",2003,22
"10","Breyer",2004,23
"11","Breyer",2005,23
"12","Breyer",2006,23
"13","Breyer",2007,22
"14","Breyer",2008,25
"15","Breyer",2009,30
"16","Breyer",2010,27
"17","Breyer",2011,21
"18","Breyer",2012,23
"19","Breyer",2013,22
"20","Breyer",2014,14
"21","Breyer",2015,19
"22","Breyer",2016,23
"23","Breyer",2017,22
"24","Breyer",2018,10
"25","Ginsburg",1993,3
"26","Ginsburg",1994,29
"27","Ginsburg",1995,25
"28","Ginsburg",1996,16
"29","Ginsburg",1997,20
"30","Ginsburg",1998,22
"31","Ginsburg",1999,19
"32","Ginsburg",2000,19
"33","Ginsburg",2001,19
"34","Ginsburg",2002,14
"35","Ginsburg",2003,16
"36","Ginsburg",2004,22
"37","Ginsburg",2005,20
"38","Ginsburg",2006,15
"39","Ginsburg",2007,18
"40","Ginsburg",2008,17
"41","Ginsburg",2009,19
"42","Ginsburg",2010,18
"43","Ginsburg",2011,23
"44","Ginsburg",2012,20
"45","Ginsburg",2013,18
"46","Ginsburg",2014,17
"47","Ginsburg",2015,13
"48","Ginsburg",2016,15
"49","Ginsburg",2017,18
"50","Ginsburg",2018,2
"51","Kennedy",1988,15
"52","Kennedy",1989,30
"53","Kennedy",1990,35
"54","Kennedy",1991,32
"55","Kennedy",1992,23
"56","Kennedy",1993,25
"57","Kennedy",1994,22
"58","Kennedy",1995,17
"59","Kennedy",1996,17
"60","Kennedy",1997,12
"61","Kennedy",1998,21
"62","Kennedy",1999,16
"63","Kennedy",2000,19
"64","Kennedy",2001,15
"65","Kennedy",2002,17
"66","Kennedy",2003,20
"67","Kennedy",2004,20
"68","Kennedy",2005,18
"69","Kennedy",2006,20
"70","Kennedy",2007,12
"71","Kennedy",2008,12
"72","Kennedy",2009,14
"73","Kennedy",2010,19
"74","Kennedy",2011,18
"75","Kennedy",2012,10
"76","Kennedy",2013,15
"77","Kennedy",2014,10
"78","Kennedy",2015,11
"79","Kennedy",2016,12
"80","Kennedy",2017,10
"81","Kennedy",2018,1
"82","OConnor",1981,3
"83","OConnor",1982,40
"84","OConnor",1983,31
"85","OConnor",1984,38
"86","OConnor",1985,42
"87","OConnor",1986,40
"88","OConnor",1987,41
"89","OConnor",1988,37
"90","OConnor",1989,38
"91","OConnor",1990,28
"92","OConnor",1991,28
"93","OConnor",1992,34
"94","OConnor",1993,32
"95","OConnor",1994,31
"96","OConnor",1995,29
"97","OConnor",1996,13
"98","OConnor",1997,23
"99","OConnor",1998,16
"100","OConnor",1999,13
"101","OConnor",2000,17
"102","OConnor",2001,18
"103","OConnor",2002,20
"104","OConnor",2003,16
"105","OConnor",2004,14
"106","OConnor",2005,22
"107","OConnor",2006,1
"108","Rehnquist",1972,39
"109","Rehnquist",1973,35
"110","Rehnquist",1974,36
"111","Rehnquist",1975,38
"112","Rehnquist",1976,35
"113","Rehnquist",1977,41
"114","Rehnquist",1978,63
"115","Rehnquist",1979,48
"116","Rehnquist",1980,53
"117","Rehnquist",1981,71
"118","Rehnquist",1982,53
"119","Rehnquist",1983,50
"120","Rehnquist",1984,52
"121","Rehnquist",1985,38
"122","Rehnquist",1986,28
"123","Rehnquist",1987,27
"124","Rehnquist",1988,27
"125","Rehnquist",1989,25
"126","Rehnquist",1990,17
"127","Rehnquist",1991,20
"128","Rehnquist",1992,25
"129","Rehnquist",1993,19
"130","Rehnquist",1994,16
"131","Rehnquist",1995,15
"132","Rehnquist",1996,21
"133","Rehnquist",1997,18
"134","Rehnquist",1998,18
"135","Rehnquist",1999,18
"136","Rehnquist",2000,18
"137","Rehnquist",2001,12
"138","Rehnquist",2002,18
"139","Rehnquist",2003,13
"140","Rehnquist",2004,12
"141","Rehnquist",2005,5
"142","Scalia",1987,64
"143","Scalia",1988,44
"144","Scalia",1989,45
"145","Scalia",1990,35
"146","Scalia",1991,54
"147","Scalia",1992,34
"148","Scalia",1993,30
"149","Scalia",1994,40
"150","Scalia",1995,28
"151","Scalia",1996,36
"152","Scalia",1997,32
"153","Scalia",1998,33
"154","Scalia",1999,19
"155","Scalia",2000,27
"156","Scalia",2001,29
"157","Scalia",2002,23
"158","Scalia",2003,26
"159","Scalia",2004,36
"160","Scalia",2005,20
"161","Scalia",2006,24
"162","Scalia",2007,27
"163","Scalia",2008,26
"164","Scalia",2009,24
"165","Scalia",2010,36
"166","Scalia",2011,29
"167","Scalia",2012,22
"168","Scalia",2013,24
"169","Scalia",2014,27
"170","Scalia",2015,21
"171","Souter",1990,1
"172","Souter",1991,14
"173","Souter",1992,20
"174","Souter",1993,25
