,Author,File_ID,File_Name,Mean Sentiment,Year,Useful?
114,Breyer,114,Conner v Sellers (2).txt,-1.425,2016,
503,Breyer,503,Valle v Florida.txt,-0.853389831,2011,X
269,Breyer,269,LaGrand v Arizona.txt,-0.675,1999,
384,Breyer,384,Reed v Louisiana.txt,-0.672222222,2017,XX
462,Breyer,462,Tucker v Louisiana.txt,-0.64516129,2016,XX
89,Breyer,89,Chambers v US.txt,-0.624418605,2009,X
116,Breyer,116,Correll v Florida.txt,-0.604166667,2015,
405,Breyer,405,Ruiz v Texas.txt,-0.55,2017,
50,Breyer,50,Begay v US.txt,-0.534459459,2008,
342,Breyer,342,Norfold & Western Ry. v Ayers.txt,-0.498181818,2003,
273,Breyer,273,Lewis v US.txt,-0.487183544,1998,
145,Breyer,145,Dunn v Madison.txt,-0.475806452,2017,
192,Breyer,192,Glossip v Gross.txt,-0.466343207,2015,
154,Breyer,154,Elledge v Florida.txt,-0.456666667,1998,
158,Breyer,158,Ewing v California.txt,-0.454741379,2003,
417,Breyer,417,"Scheidler v NOW, Inc..txt",-0.426071429,2006,
335,Breyer,335,Nelson v US.txt,-0.416666667,2009,
337,Breyer,337,Nijhawan v Holder.txt,-0.407894737,2009,
310,Breyer,310,Miller v Alabama.txt,-0.401515152,2012,
428,Breyer,428,Sireci v Florida.txt,-0.395348837,2016,
251,Breyer,251,Johnson v Kelley.txt,-0.391666667,2017,
396,Breyer,396,Ring v Arizona.txt,-0.385546875,2002,
62,Breyer,62,Boyer v Davis.txt,-0.383,2016,
261,Breyer,261,Knight v Florida.txt,-0.371621622,1999,
177,Breyer,177,Foster v Florida.txt,-0.357638889,2002,
130,Breyer,130,Delling v Idaho.txt,-0.349206349,2012,
9,Breyer,9,Allen v Ornoski.txt,-0.344736842,2006,
369,Breyer,369,Philip Morris USA v Williams.txt,-0.335140562,2007,
115,Breyer,115,Conner v Sellers.txt,-0.322,2016,
71,Breyer,71,Buchanan v Angelone.txt,-0.316044776,1998,
431,Breyer,431,Smith v Ryan.txt,-0.3025,2017,
492,Breyer,492,US v Ressam.txt,-0.301953125,2008,
232,Breyer,232,Hudson v US.txt,-0.293137255,1997,
482,Breyer,482,US v Jimenez Recio.txt,-0.292857143,2003,
327,Breyer,327,Muhammad v Florida.txt,-0.286111111,2014,
178,Breyer,178,Fowler v US.txt,-0.28313253,2011,
128,Breyer,128,Dean v US.txt,-0.279591837,2009,
81,Breyer,81,Castillo v US.txt,-0.267123288,2000,
290,Breyer,290,McGehee v Hutchinson.txt,-0.262195122,2017,
234,Breyer,234,Hurst v Florida.txt,-0.261363636,2016,
202,Breyer,202,Gray v Maryland.txt,-0.260294118,1998,
146,Breyer,146,"Dura Pharms., Inc. v Broudo.txt",-0.255982906,2005,
69,Breyer,69,Brown v Sanders.txt,-0.255417957,2006,
258,Breyer,258,Kingsley v Hendrickson.txt,-0.254854369,2015,
300,Breyer,300,Metro-North Commuter R.R. v Buckley.txt,-0.248883375,1997,
64,Breyer,64,Brooks v Alabama.txt,-0.236666667,2016,
304,Breyer,304,Mickens v Taylor.txt,-0.230952381,2002,
13,Breyer,13,Almendarez-Torres v US.txt,-0.229190751,1998,
163,Breyer,163,FCC v NextWave Pers. Communs. Inc..txt,-0.217391304,2003,
516,Breyer,516,Weaver v Massachusetts.txt,-0.215625,2017,
487,Breyer,487,US v Marcus.txt,-0.212948207,2010,
347,Breyer,347,O'Neal v McAninch.txt,-0.209832636,1995,
200,Breyer,200,Graham County Soil & Water Conservation Dist. v United States ex rel. WIlson.txt,-0.202232143,2005,
522,Breyer,522,Wilkinson v Dotson.txt,-0.193389831,2005,
43,Breyer,43,Baze v Rees.txt,-0.191240876,2008,
55,Breyer,55,Blakely v Washington.txt,-0.191221374,2004,
197,Breyer,197,Gonzales v Duenas-Alvarez.txt,-0.190576923,2007,
433,Breyer,433,Snyder v Phelps.txt,-0.1875,2011,
213,Breyer,213,Heintz v Jenkins.txt,-0.168881119,1995,
123,Breyer,123,Dahda v US.txt,-0.167990654,2018,
220,Breyer,220,Hidalgo v Arizona.txt,-0.165909091,2018,
136,Breyer,136,Dixon v US.txt,-0.163855422,2006,
173,Breyer,173,Florence v Bd. of Chosen Freeholders.txt,-0.163037249,2012,
425,Breyer,425,Shaw v US.txt,-0.161486486,2016,
151,Breyer,151,Edwards v US.txt,-0.160126582,1998,
451,Breyer,451,Thompson v McNeil.txt,-0.159459459,2009,
274,Breyer,274,Lilly v Virginia.txt,-0.156944444,1999,
73,Breyer,73,"Bullock v BankChampaign, N.A..txt",-0.156839623,2013,
36,Breyer,36,Bank of Am. Corp. v City of Miami.txt,-0.156055901,2017,
465,Breyer,465,Turner v US.txt,-0.155919003,2017,
429,Breyer,429,Small v US.txt,-0.151507538,2005,
299,Breyer,299,Messerschmidt v Millender.txt,-0.15,2012,
