,Author,File_ID,File_Name,Mean Sentiment,Year,
135,Breyer,135,Ruiz v Texas.txt,-0.55,2017,
68,Breyer,68,Glossip v Gross.txt,-0.466343207,2015,
52,Breyer,52,Elledge v Florida.txt,-0.456666667,1998,
54,Breyer,54,Ewing v California.txt,-0.454741379,2003,
4,Breyer,4,Allen v Ornoski.txt,-0.344736842,2006,
27,Breyer,27,Buchanan v Angelone.txt,-0.316044776,1998,
167,Breyer,167,US v Ressam.txt,-0.301953125,2008,
113,Breyer,113,Muhammad v Florida.txt,-0.286111111,2014,
44,Breyer,44,Dean v US.txt,-0.279591837,2009,
26,Breyer,26,Brown v Sanders.txt,-0.255417957,2006,
93,Breyer,93,Kingsley v Hendrickson.txt,-0.254854369,2015,
106,Breyer,106,Mickens v Taylor.txt,-0.230952381,2002,
56,Breyer,56,FCC v NextWave Pers. Communs. Inc..txt,-0.217391304,2003,
174,Breyer,174,Weaver v Massachusetts.txt,-0.215625,2017,
70,Breyer,70,Graham County Soil & Water Conservation Dist. v United States ex rel. WIlson.txt,-0.202232143,2005,
20,Breyer,20,Blakely v Washington.txt,-0.191221374,2004,
46,Breyer,46,Dixon v US.txt,-0.163855422,2006,
61,Breyer,61,Florence v Bd. of Chosen Freeholders.txt,-0.163037249,2012,
154,Breyer,154,Thompson v McNeil.txt,-0.159459459,2009,
66,Breyer,66,Giles v California.txt,-0.147437888,2008,
48,Breyer,48,Duncan v Walker.txt,-0.145705521,2001,
98,Breyer,98,Marinello v US.txt,-0.140384615,2018,
100,Breyer,100,Mathis v US.txt,-0.125692308,2016,
176,Breyer,176,White v Woodall.txt,-0.117532468,2014,
130,Breyer,130,Raines v Byrd.txt,-0.116791045,1997,
153,Breyer,153,Texas v Cobb.txt,-0.100346021,2001,
74,Breyer,74,"Hemi Group, LLC, v City of New York.txt",-0.097961957,2010,
145,Breyer,145,Setser v US.txt,-0.08015873,2012,
173,Breyer,173,Wallace v Kato.txt,-0.079047619,2007,
161,Breyer,161,US v Gonzales.txt,-0.078723404,1997,
126,Breyer,126,Pliler v Ford.txt,-0.075909091,2004,
15,Breyer,15,Bd. of the Cnty. Comm'rs v Brown.txt,-0.069911504,1997,
136,Breyer,136,S. Union Co. v US.txt,-0.066753927,2012,
73,Breyer,73,Hall v US.txt,-0.063504823,2012,
30,Breyer,30,Chamber of Commerce of the United States v Whiting.txt,-0.056279621,1998,
140,Breyer,140,Sandin v Conner.txt,-0.043181818,1995,
112,Breyer,112,Montejo v Louisiana.txt,-0.037837838,2009,
162,Breyer,162,US v Labonte.txt,-0.036904762,1997,
6,Breyer,6,Angelone v Bennett.txt,-0.034375,1996,
165,Breyer,165,US v Patane.txt,-0.034375,2004,
84,Breyer,84,Hudson v Michigan.txt,-0.031691773,2006,
50,Breyer,50,Egelhoff v Egelhoff.txt,-0.029207921,2001,
82,Breyer,82,Hollingsworth v Perry.txt,-0.027272727,2010,
108,Breyer,108,Miller v French.txt,-0.022820513,2000,
90,Breyer,90,Kansas v Hendricks.txt,-0.019740634,1997,
158,Breyer,158,Tyler v Cain.txt,-0.017460317,2001,
67,Breyer,67,Gitlitz v Comm'r.txt,-0.01,2001,
77,Breyer,77,Herring v US.txt,-0.005769231,2009,
47,Breyer,47,Doe v Chao.txt,-0.004878049,2004,
41,Breyer,41,Daniels v US.txt,-0.003,2001,
17,Breyer,17,Bd. of Trs. v Garrett.txt,-0.00239521,2001,
35,Breyer,35,Clapper v Amnesty Int'l USA.txt,-0.001264591,2013,
138,Breyer,138,Salinas v Texas.txt,0.001737968,2013,
79,Breyer,79,"Hoffman Plastic Compounds, Inc. v NLRB.txt",0.004782609,2002,
114,Breyer,114,Mut. Pharm. Co. v Bartlett.txt,0.006153846,2013,
78,Breyer,78,Hiibel v Sixth Judicial Dist. Court.txt,0.00959596,2004,
89,Breyer,89,Jennings v Rodriguez.txt,0.013562092,2018,
175,Breyer,175,Wetzel v Lambert.txt,0.0225,2012,
149,Breyer,149,Stern v Marshall.txt,0.034738041,2011,
117,Breyer,117,"Nike, Inc. v Kasky.txt",0.03608137,2003,
42,Breyer,42,Davila v Davis.txt,0.037759336,2017,
168,Breyer,168,US v Santos.txt,0.043589744,2008,
72,Breyer,72,"Hall St. Assocs., L.L.C. v Mattel, Inc..txt",0.04375,2008,
179,Breyer,179,Ziglar v Abbasi.txt,0.043758766,2017,
75,Breyer,75,Hercules Inc. v US.txt,0.044866071,1996,
45,Breyer,45,District of Columbia v Heller.txt,0.045568401,2008,
12,Breyer,12,Bailey v US.txt,0.047478992,2013,
86,Breyer,86,Irizarry v US.txt,0.0478125,2008,
88,Breyer,88,"Janus Capital Group, Inc. v First Derivative Traders.txt",0.048214286,2011,
151,Breyer,151,Summers v Earth Island Inst..txt,0.048847926,2009,
160,Breyer,160,US v Balsys.txt,0.053801843,1998,
